playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
10,10,4,0,0,10,10,0,0,0,24,20,0,280,-12,Loss
6,10,10,0,0,5,10,10,0,0,26,25,0,274,-14,Loss
7,9,10,0,0,4,10,9,0,0,26,23,0,268,-15,Loss
10,10,5,0,0,10,7,0,0,0,25,17,0,263,-17,Loss
1,7,7,0,0,10,10,0,0,0,15,20,0,258,-20,Loss
9,8,7,0,0,7,10,0,0,0,24,17,0,253,-21,Loss
10,7,6,0,0,10,3,5,0,0,23,18,0,247,-20,Loss
7,10,6,0,0,9,9,0,0,0,23,18,0,242,-20,Loss
10,10,5,0,0,2,6,2,8,0,25,18,0,235,-18,Loss
6,2,10,0,0,6,4,10,0,0,18,20,0,229,-16,Loss
8,9,4,0,0,4,4,3,10,0,21,21,0,222,-13,Push
9,4,9,0,0,1,2,10,9,0,22,22,0,215,-13,Loss
10,9,1,0,0,8,7,7,0,0,20,22,0,209,-15,Win
8,8,1,0,0,6,7,3,5,0,17,21,0,202,-13,Loss
4,9,9,0,0,7,2,3,7,0,22,19,0,409,3,Loss
1,10,10,0,0,10,11,0,0,0,21,21,0,404,-2,Push
7,8,10,0,0,6,10,8,0,0,25,24,0,398,-3,Loss
10,6,7,0,0,10,10,0,0,0,23,20,0,393,-5,Loss
10,2,9,0,0,10,10,0,0,0,21,20,0,388,-7,Win
10,10,8,0,0,10,6,10,0,0,28,26,0,382,-10,Loss
10,7,9,0,0,2,8,4,7,0,26,21,0,375,-9,Loss
2,9,10,0,0,5,6,1,1,9,21,22,0,367,-9,Win
5,6,10,0,0,4,10,10,0,0,21,24,0,361,-9,Win
2,10,10,0,0,10,7,0,0,0,22,17,0,356,-11,Loss
7,2,10,0,0,10,8,0,0,0,19,18,0,351,-12,Win
9,2,8,0,0,10,10,0,0,0,19,20,0,346,-13,Loss
3,10,9,0,0,10,8,0,0,0,22,18,0,341,-14,Loss
7,3,10,0,0,8,10,0,0,0,20,18,0,336,-15,Win
10,2,1,0,0,3,4,10,0,0,13,17,0,330,-15,Loss
3,10,10,0,0,6,8,10,0,0,23,24,0,324,-16,Loss
9,10,10,0,0,10,5,7,0,0,29,22,0,318,-18,Loss
4,2,10,0,0,9,4,3,9,0,16,25,0,311,-15,Win
4,2,4,0,0,6,10,6,0,0,10,22,0,305,-11,Win
1,7,10,0,0,10,9,0,0,0,18,19,0,300,-14,Loss
7,5,2,0,0,8,10,0,0,0,14,18,0,295,-13,Loss
10,5,4,0,0,3,10,3,5,0,19,21,0,288,-10,Loss
10,10,10,0,0,8,7,8,0,0,30,23,0,282,-13,Loss
6,1,10,0,0,10,5,10,0,0,17,25,0,276,-15,Win
6,5,10,0,0,3,5,10,0,0,21,18,0,270,-13,Win
4,3,3,0,0,5,4,2,10,0,10,21,0,263,-8,Loss
5,4,4,0,0,9,6,1,2,0,13,18,0,256,-4,Loss
10,1,10,0,0,11,10,0,0,0,21,21,0,251,-9,Push
10,7,5,0,0,7,2,10,0,0,22,19,0,245,-9,Loss
5,4,5,0,0,2,10,6,0,0,14,18,0,239,-5,Loss
11,4,5,0,0,2,10,5,0,0,20,17,0,233,-3,Win
1,1,10,0,0,3,11,7,0,0,12,21,0,227,-6,Loss
3,6,9,0,0,8,11,0,0,0,18,19,0,222,-5,Loss
8,4,6,0,0,6,10,5,0,0,18,21,0,216,-2,Loss
10,9,7,0,0,7,10,0,0,0,26,17,0,211,-4,Loss
3,1,10,0,0,9,10,0,0,0,14,19,0,206,-6,Loss
6,2,9,0,0,6,3,8,0,0,17,17,0,410,4,Push
5,7,2,0,0,9,4,10,0,0,14,23,0,404,6,Win
9,1,5,0,0,2,10,10,0,0,15,22,0,398,5,Win
10,3,9,0,0,10,2,9,0,0,22,21,0,392,5,Loss
7,8,6,0,0,10,10,0,0,0,21,20,0,387,4,Win
10,10,10,0,0,10,6,4,0,0,30,20,0,381,2,Loss
2,9,1,0,0,2,10,10,0,0,12,22,0,375,1,Win
10,3,1,0,0,8,10,0,0,0,14,18,0,370,-1,Loss
2,10,8,0,0,10,5,4,0,0,20,19,0,364,0,Win
4,8,2,0,0,7,6,9,0,0,14,22,0,358,3,Win
10,10,6,0,0,5,7,4,6,0,26,22,0,351,5,Loss
8,7,8,0,0,10,5,7,0,0,23,22,0,345,5,Loss
5,9,7,0,0,3,10,3,3,0,21,19,0,338,8,Win
10,10,3,0,0,8,10,0,0,0,23,18,0,333,6,Loss
4,4,3,0,0,5,2,10,0,0,11,17,0,327,10,Loss
3,10,10,0,0,2,4,3,7,10,23,26,0,319,11,Loss
1,10,3,0,0,3,8,10,0,0,14,21,0,313,10,Loss
6,10,10,0,0,8,10,0,0,0,26,18,0,308,8,Loss
2,1,10,0,0,10,5,8,0,0,13,23,0,302,7,Win
7,3,9,0,0,8,10,0,0,0,19,18,0,297,7,Win
9,2,9,0,0,8,8,9,0,0,20,25,0,291,8,Win
2,4,10,0,0,5,10,10,0,0,16,25,0,285,8,Win
4,4,10,0,0,6,10,10,0,0,18,26,0,279,8,Win
1,10,3,0,0,11,3,3,0,0,14,17,0,273,8,Loss
1,6,11,0,0,7,3,10,0,0,18,20,0,267,7,Loss
10,6,9,0,0,9,11,0,0,0,25,20,0,262,6,Loss
10,10,4,0,0,4,10,2,7,0,24,23,0,255,6,Loss
5,7,3,0,0,10,10,0,0,0,15,20,0,250,6,Loss
10,9,10,0,0,10,2,10,0,0,29,22,0,244,3,Loss
10,2,1,0,0,10,2,10,0,0,13,22,0,238,1,Win
2,10,8,0,0,3,11,6,0,0,20,20,0,232,2,Push
7,9,10,0,0,2,4,6,10,0,26,22,0,225,3,Loss
3,8,10,0,0,7,10,0,0,0,21,17,0,220,2,Win
7,4,10,0,0,9,8,0,0,0,21,17,0,215,2,Win
7,9,10,0,0,4,10,5,0,0,26,19,0,209,2,Loss
10,1,9,0,0,10,10,0,0,0,20,20,0,204,-2,Push
4,10,6,0,0,9,10,0,0,0,20,19,0,411,0,Win
6,10,7,0,0,2,7,8,0,0,23,17,0,405,1,Loss
2,4,10,0,0,3,2,7,3,10,16,25,0,397,4,Win
5,10,5,0,0,9,5,9,0,0,20,23,0,391,6,Win
10,9,10,0,0,7,3,10,0,0,29,20,0,385,4,Loss
4,10,10,0,0,4,10,1,10,0,24,25,0,378,1,Loss
9,10,10,0,0,4,10,3,0,0,29,17,0,372,0,Loss
2,6,3,0,0,9,10,0,0,0,11,19,0,367,2,Loss
9,1,10,0,0,8,6,3,0,0,20,17,0,361,2,Win
5,10,2,0,0,10,6,4,0,0,17,20,0,355,4,Loss
8,4,1,0,0,5,5,3,1,2,13,18,0,346,8,Loss
5,7,2,0,0,2,10,10,0,0,14,22,0,340,9,Win
8,7,9,0,0,8,10,0,0,0,24,18,0,335,8,Loss
10,7,5,0,0,10,3,5,0,0,22,18,0,329,9,Loss
10,4,10,0,0,9,6,7,0,0,24,22,0,323,9,Loss
10,10,2,0,0,7,8,5,0,0,22,20,0,317,9,Loss
10,9,1,0,0,10,6,10,0,0,20,26,0,311,6,Win
4,10,8,0,0,3,10,9,0,0,22,22,0,305,6,Loss
8,5,5,0,0,6,4,10,0,0,18,20,0,299,9,Loss
9,8,2,0,0,8,5,1,5,0,19,19,0,292,11,Push
5,7,4,0,0,7,7,5,0,0,16,19,0,286,14,Loss
2,10,10,0,0,10,10,0,0,0,22,20,0,281,11,Loss
11,3,6,0,0,6,7,10,0,0,20,23,0,275,12,Win
10,2,10,0,0,10,8,0,0,0,22,18,0,270,10,Loss
4,10,9,0,0,10,7,0,0,0,23,17,0,265,9,Loss
2,10,2,0,0,10,6,10,0,0,14,26,0,259,9,Win
1,10,8,0,0,7,8,10,0,0,19,25,0,253,6,Win
3,8,5,0,0,9,3,10,0,0,16,22,0,247,8,Win
6,8,4,0,0,5,7,10,0,0,18,22,0,241,10,Win
9,4,9,0,0,11,10,0,0,0,22,21,0,236,9,Loss
10,1,10,0,0,9,6,2,0,0,21,17,0,230,8,Win
6,6,8,0,0,3,4,10,0,0,20,17,0,224,11,Win
8,3,10,0,0,9,2,5,2,0,21,18,0,217,14,Win
1,8,4,0,0,8,4,10,0,0,13,22,0,211,14,Win
11,5,5,0,0,2,4,10,4,0,21,20,0,204,17,Win
