playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
10,9,10,0,0,3,6,3,10,0,29,22,308,Loss
3,5,10,0,0,11,7,0,0,0,18,18,303,Push
10,10,9,0,0,9,4,5,0,0,29,18,297,Loss
10,4,9,0,0,8,6,6,0,0,23,20,291,Loss
10,8,10,0,0,10,3,10,0,0,28,23,285,Loss
10,7,6,0,0,10,6,10,0,0,23,26,279,Loss
7,10,3,0,0,1,3,10,2,10,20,26,271,Win
9,10,2,0,0,5,4,4,10,0,21,23,264,Win
5,5,2,0,0,10,7,0,0,0,12,17,259,Loss
10,1,7,0,0,3,6,10,0,0,18,19,253,Loss
9,10,10,0,0,8,10,0,0,0,29,18,248,Loss
8,10,10,0,0,5,10,1,7,0,28,23,241,Loss
10,8,10,0,0,6,5,2,10,0,28,23,234,Loss
2,8,8,0,0,5,6,9,0,0,18,20,228,Loss
1,7,4,0,0,2,10,10,0,0,12,22,222,Win
3,5,5,0,0,10,10,0,0,0,13,20,217,Loss
4,10,10,0,0,2,4,11,0,0,24,17,211,Loss
8,1,10,0,0,3,2,7,4,1,19,17,203,Win
10,7,2,0,0,6,10,4,0,0,19,20,410,Loss
5,11,2,0,0,5,4,3,5,0,18,17,403,Win
10,4,10,0,0,10,4,9,0,0,24,23,397,Loss
5,2,7,0,0,9,3,9,0,0,14,21,391,Loss
10,10,10,0,0,11,3,6,0,0,30,20,385,Loss
4,3,7,0,0,10,10,0,0,0,14,20,380,Loss
9,10,6,0,0,10,9,0,0,0,25,19,375,Loss
9,6,7,0,0,5,10,8,0,0,22,23,369,Loss
10,8,6,0,0,4,10,8,0,0,24,22,363,Loss
2,8,5,0,0,7,9,5,0,0,15,21,357,Loss
10,10,3,0,0,9,7,5,0,0,23,21,351,Loss
3,10,1,0,0,2,10,2,3,0,14,17,344,Loss
7,10,3,0,0,6,11,0,0,0,20,17,339,Win
10,10,8,0,0,6,10,1,0,0,28,17,333,Loss
10,6,9,0,0,5,11,4,0,0,25,20,327,Loss
3,8,1,0,0,10,8,0,0,0,12,18,322,Loss
10,10,9,0,0,2,7,7,4,0,29,20,315,Loss
10,1,10,0,0,4,1,8,5,0,21,18,308,Win
8,1,10,0,0,10,9,0,0,0,19,19,303,Push
6,9,10,0,0,10,3,6,0,0,25,19,297,Loss
8,1,9,0,0,5,10,10,0,0,18,25,291,Win
6,2,9,0,0,2,7,8,0,0,17,17,285,Push
6,11,2,0,0,6,5,10,0,0,19,21,279,Loss
10,10,7,0,0,9,5,1,2,0,27,17,272,Loss
5,2,10,0,0,10,10,0,0,0,17,20,267,Loss
10,4,6,0,0,10,10,0,0,0,20,20,262,Push
10,2,1,0,0,7,4,7,0,0,13,18,256,Loss
7,10,6,0,0,6,10,7,0,0,23,23,250,Loss
5,7,10,0,0,10,7,0,0,0,22,17,245,Loss
5,5,10,0,0,10,5,7,0,0,20,22,239,Win
9,3,10,0,0,4,11,6,0,0,22,21,410,Loss
6,3,6,0,0,11,10,0,0,0,15,21,405,Loss
5,4,3,0,0,5,8,10,0,0,12,23,399,Win
10,10,3,0,0,3,3,10,10,0,23,26,392,Loss
10,8,10,0,0,5,2,7,1,3,28,18,384,Loss
7,10,10,0,0,10,5,7,0,0,27,22,378,Loss
10,2,10,0,0,10,10,0,0,0,22,20,373,Loss
6,10,3,0,0,3,1,2,9,7,19,22,365,Win
7,10,5,0,0,3,5,4,10,0,22,22,358,Loss
3,10,10,0,0,8,11,0,0,0,23,19,353,Loss
3,2,9,0,0,10,11,0,0,0,14,21,348,Loss
7,10,9,0,0,2,10,10,0,0,26,22,342,Loss
8,4,10,0,0,10,2,10,0,0,22,22,336,Loss
9,10,10,0,0,3,10,4,0,0,29,17,330,Loss
1,10,7,0,0,8,11,0,0,0,18,19,325,Loss
7,10,2,0,0,10,3,6,0,0,19,19,319,Push
