playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
10,11,0,0,0,6,6,6,0,0,21,18,2,360,-2,Win
4,10,0,0,0,10,8,0,0,0,14,18,2,356,-3,Loss
10,10,0,0,0,9,10,0,0,0,20,19,2,352,-6,Win
10,4,0,0,0,3,7,2,10,0,14,22,2,346,-5,Win
9,11,0,0,0,9,9,0,0,0,20,18,2,342,-6,Win
10,10,0,0,0,5,7,7,0,0,20,19,2,337,-7,Win
5,10,0,0,0,8,8,3,0,0,15,19,2,332,-6,Loss
10,8,0,0,0,3,5,9,0,0,18,17,2,327,-5,Win
3,4,4,10,0,10,8,0,0,0,21,18,2,321,-4,Win
5,11,0,0,0,10,8,0,0,0,16,18,2,317,-5,Loss
6,10,0,0,0,11,8,0,0,0,16,19,2,313,-6,Loss
10,11,0,0,0,7,10,0,0,0,21,17,2,309,-9,Win
11,6,0,0,0,10,3,3,1,0,17,17,2,303,-9,Push
10,7,0,0,0,2,10,4,2,0,17,18,2,297,-8,Loss
10,5,0,0,0,8,2,10,0,0,15,20,2,292,-8,Loss
2,8,10,0,0,6,2,4,3,3,20,18,2,284,-3,Win
2,10,0,0,0,10,10,0,0,0,12,20,2,280,-5,Loss
2,11,0,0,0,2,10,9,0,0,13,21,2,275,-5,Loss
4,4,5,0,0,5,10,6,0,0,13,21,2,269,-1,Loss
4,7,10,0,0,5,1,10,9,0,21,25,2,262,-2,Win
11,10,0,0,0,9,10,0,0,0,21,19,2,258,-5,Win
8,8,0,0,0,6,8,10,0,0,16,24,2,253,-5,Win
7,4,8,0,0,11,8,0,0,0,19,19,2,248,-5,Push
6,10,0,0,0,10,9,0,0,0,16,19,2,244,-6,Loss
8,10,0,0,0,4,3,9,10,0,18,26,2,238,-6,Win
6,10,0,0,0,6,9,7,0,0,16,22,2,233,-5,Win
8,7,0,0,0,10,6,7,0,0,15,23,2,228,-5,Win
10,3,0,0,0,2,1,10,10,0,13,23,2,222,-7,Win
3,5,10,0,0,8,10,0,0,0,18,18,2,217,-7,Push
10,4,0,0,0,5,8,10,0,0,14,23,2,212,-7,Win
10,2,0,0,0,6,6,8,0,0,12,20,2,207,-5,Loss
2,11,0,0,0,3,7,7,0,0,13,17,2,411,1,Loss
3,4,10,0,0,7,10,0,0,0,17,17,2,406,1,Push
3,10,0,0,0,10,10,0,0,0,13,20,2,402,-1,Loss
10,6,0,0,0,5,9,3,0,0,16,17,2,397,1,Loss
10,11,0,0,0,10,8,0,0,0,21,18,2,393,-2,Win
6,4,10,0,0,11,10,0,0,0,20,21,2,388,-3,Loss
3,10,0,0,0,10,10,0,0,0,13,20,2,384,-5,Loss
6,9,0,0,0,8,3,1,7,0,15,19,2,378,-4,Loss
10,11,0,0,0,3,10,8,0,0,21,21,2,373,-6,Push
10,8,0,0,0,3,10,5,0,0,18,18,2,368,-6,Push
10,5,0,0,0,2,9,8,0,0,15,19,2,363,-5,Loss
10,5,0,0,0,10,10,0,0,0,15,20,2,359,-7,Loss
7,10,0,0,0,10,3,8,0,0,17,21,2,354,-8,Loss
